ID,考试名称,考点,认证服务中心,高校省份,所在单位,编程语言,等级,总分,选择题,判断题,编程题1,编程题2,缺考,选择题选项,判断题选项
2025031200001,GESP 2023年9月认证,苏州大学本部校区,,江苏省,苏州市振华中学校,C++,四级,59.5,20,12,25,2.5,,BACDDAABBCCBCAD,TTTFFFTTTF
2025031200002,GESP 2023年9月认证,上海市建平中学,,上海市,上海民办兰生中学,C++,五级,96,30,16,25,25,,ADCCABACCDBCBAC,TFTTFFTFFF
2025031200003,GESP 2023年9月认证,上海虹桥国际外籍人员子女学校,,上海市,绿苑小学,C++,一级,28,14,14,0,0,,CBACDBAACBBADBB,TFTFFTTTTF
2025031200004,GESP 2023年9月认证,宁波城市职业技术学院（鄞州）,,浙江省,宁波外国语学校,C++,四级,61,18,18,25,0,,BACDDBDBDCABBCC,TFFTFFFTFF
2025031200005,GESP 2023年9月认证,南京外国语学校（北京东路校区）,,江苏省,南京外国语学校仙林分校小学部,C++,二级,80,18,12,25,25,,CBCDDCAAAABDDCA,TTFTTTTTTF
2025031200006,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,苏州大学实验学校,C++,三级,61,24,12,25,0,,BBCBAACBDABDBDB,TFTFFFTFTF
2025031200007,GESP 2023年9月认证,西安理工大学,,陕西省,曲江第二小学,C++,一级,26.5,12,12,0,2.5,,CCBCACADDBBABDB,FTFTTTFTFF
2025031200008,GESP 2023年9月认证,上海市行知中学,,上海市,上海民办克勒外国语学校,C++,三级,100,30,20,25,25,,BBCBAABCCABDBDB,TFTTFTTTFF
2025031200010,GESP 2023年9月认证,宁波职业技术学院(北仑）,,浙江省,泰河学校,C++,三级,94,26,18,25,25,,BBDBAABCCCBDBDB,TFTFFTTTFF
2025031200011,GESP 2023年9月认证,宿迁学院,,江苏省,实验初级中学,C++,三级,90,24,16,25,25,,BBCBAABBCABBBBB,TFTTTTTFFF
2025031200012,GESP 2023年9月认证,南开大学,,天津市,天津逸阳梅江湾学校,C++,一级,69.5,20,12,25,12.5,,CDDCDBACDCABDBC,FFFTTFFTFF
2025031200013,GESP 2023年9月认证,上海市七宝中学,,上海市,市北初级中学,C++,六级,70.5,20,18,7.5,25,,ADDDADAABDBCABB,TTTFFFTTFF
2025031200015,GESP 2023年9月认证,南开大学,,天津市,天津外国语学校南普小学,C++,一级,67.5,18,12,25,12.5,,CDBBDDCCACABDBD,FFTTFFFTFF
2025031200017,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,苏州工业园区东沙湖小学,C++,一级,92,24,18,25,25,,CDBCDCACABABDDA,FFFTFTTTFF
2025031200018,GESP 2023年9月认证,上海市建平中学,,上海市,上海市张江集团中学,C++,五级,85.5,26,12,22.5,25,,ADCCABACCCBDBAC,FFFTFTTTFF
2025031200019,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,苏州工业园区东沙湖小学,C++,一级,96,30,16,25,25,,CDBCDBACACBBDDA,FFFTFTTFFF
2025031200020,GESP 2023年9月认证,苏州工业园区景城学校,苏州西疆科技咨询有限公司,江苏省,景城学校,C++,二级,42.5,20,20,0,2.5,,BBCBDBDDDCBBDCA,FFTTFTTTTF
2025031200021,GESP 2023年9月认证,苏州大学本部校区,,江苏省,昆山市培本实验小学,C++,五级,96,30,16,25,25,,ADCCABACCDBCBAC,FFTTFTTFFF
2025031200022,GESP 2023年9月认证,湖北第二师范学院,,湖北省,武汉市光谷第一小学,C++,三级,88,24,14,25,25,,BBCBAADCDABDBBB,TFTFTTTFFF
2025031200023,GESP 2023年9月认证,苏州大学本部校区,苏州西疆科技咨询有限公司,江苏省,独墅湖实验小学,C++,一级,88,20,18,25,25,,CDACDCACACDBDBC,FFFTFTTTTT
