考试名称,language_file,n_registered,n_present,mean_score,median_score,std_score,min_score,max_score,passed,pass_rate_by_present
2023GESP 3月首次认证,Scratch,49,47,71.65306122448979,76.0,20.376202439373735,0.0,96.0,38,0.8085106382978723
GESP 2023年12月认证,Scratch,3049,2945,55.64742538537225,58.0,22.360841040469936,0.0,100.0,1424,0.4835314091680815
GESP 2023年6月认证,C++,12129,11857,49.4430703273147,44.5,25.03857090543638,0.0,100.0,4058,0.3422450872902083
GESP 2023年6月认证,Python,579,571,40.74352331606217,32.5,24.042302079769133,0.0,98.0,134,0.23467600700525393
GESP 2023年6月认证,Scratch,1365,1321,53.863736263736264,52.0,23.429132161279178,0.0,100.0,556,0.42089326267978805
GESP 2023年9月认证,C++,8813,8406,60.19074095086803,63.0,28.25210809736623,0.0,100.0,4898,0.5826790387818225
GESP 2023年9月认证,Python,1002,971,47.3248502994012,38.0,26.543811657150016,0.0,100.0,314,0.3233779608650875
GESP 2023年9月认证,Scratch,2216,2139,54.83438628158845,58.0,21.488704784203215,0.0,100.0,1048,0.4899485741000468
GESP 2024年3月认证,C++,18785,18319,73.74977375565611,84.0,24.271582649579045,0.0,100.0,14316,0.7814837054424368
GESP 2024年3月认证,Python,1131,1101,61.9080459770115,71.0,27.736472215427398,0.0,100.0,640,0.5812897366030881
GESP 2024年3月认证,Scratch,2034,1995,67.56637168141593,71.0,19.47283021261755,0.0,100.0,1476,0.7398496240601504
GESP2024年12月认证,C++,41434,40028,62.757607174977515,66.5,23.126251425046423,0.0,100.0,22940,0.573098830818427
GESP2024年12月认证,Python,1701,1645,51.12674772036474,46.0,24.081696706026797,0.0,100.0,637,0.3872340425531915
GESP2024年12月认证,Scratch,3850,3747,68.75272727272727,75.0,23.02569304005776,0.0,100.0,2723,0.7267147050974113
GESP2024年6月认证,C++,29169,28168,60.52677500085707,63.0,25.951301621295638,0.0,100.0,15647,0.5554884975859131
GESP2024年6月认证,Python,1677,1607,42.7814549791294,37.0,25.09119587685966,0.0,100.0,431,0.268201617921593
GESP2024年6月认证,Scratch,3013,2906,54.71008961168271,57.0,21.991728594760165,0.0,100.0,1416,0.48726772195457674
GESP2024年9月认证,C++,25946,24831,60.67850535728051,65.5,26.549597610138612,0.0,100.0,14584,0.5873303531875478
GESP2024年9月认证,Python,1507,1437,53.528533510285335,53.5,28.097449150725307,0.0,100.0,636,0.44258872651356995
GESP2024年9月认证,Scratch,3147,3060,62.21176470588235,64.0,18.565424426485137,3.0,97.0,1838,0.6006535947712418
